순번,대학(원),학과(부),학년,이수구분,학수번호,교과목명,교과목명(영문),담당교수,Teaching method,수업방법,시간표,학점,강의실
1,인문대학,국어국문학과,1,전공기초,0004890001,문학과문화,Literature and Culture,김영식,online class,온라인(동영상+화상), [SP119:화(4)(5)],2,제15호관 인문대학-119 강의실(중)-1[SP119]
2,인문대학,국어국문학과,1,전공기초,0004894001,한자와생활,Korean Usage of Chinese Characters,배은희,online class,온라인(화상), [SP119:목(5)(6)],2,제15호관 인문대학-119 강의실(중)-1[SP119]
3,인문대학,국어국문학과,1,전공기초,0004894002,한자와생활,Korean Usage of Chinese Characters,배은희,online class,온라인(화상), [SP119:목(2)(3)],2,제15호관 인문대학-119 강의실(중)-1[SP119]
4,인문대학,국어국문학과,1,전공기초,0004905001,한국어논리와표현,Logic and Expressions in Korean,조현우,on and offline class,온라인(동영상+화상)+오프라인, [SP119:월(2)(3)],2,제15호관 인문대학-119 강의실(중)-1[SP119]
5,인문대학,국어국문학과,1,전공기초,0004905002,한국어논리와표현,Logic and Expressions in Korean,조현우,on and offline class,온라인(동영상+화상)+오프라인, [SP119:월(6)(7)],2,제15호관 인문대학-119 강의실(중)-1[SP119]
6,인문대학,국어국문학과,2,전공필수,0004874001,고전문학사,History of Korean Classical Literature,조현우,on and offline class,온라인(동영상+화상)+오프라인," [SP119:수(5B-6),금(5B-6)]",3,제15호관 인문대학-119 강의실(중)-1[SP119]
7,인문대학,국어국문학과,2,전공선택,0004889001,한국공연예술의이해,Understanding of Korean Performing Arts,,on and offline class,온라인(화상)+오프라인, [SP120:화(5B-6)(7-8A)],3,제15호관 인문대학-120 어학원강의실-1[SP120]
8,인문대학,국어국문학과,2,전공선택,0004899001,현대문학사2,History of Korean Contemporary Literature 2 ,강용훈,on and offline class,온라인(화상)+오프라인," [SP503:월(4-5A),수(7-8A)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
9,인문대학,국어국문학과,2,전공선택,0004913001,외국인을위한한국어교육,Pedagogy of Korean for Foreign Language Users,채숙희,online class,온라인(화상)," [SP503:화(2B-3),수(2B-3)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
10,인문대학,국어국문학과,2,전공선택,0008650001,구술문학의이해,Readings in Korean Classics,김정경,online class,온라인(동영상+화상), [SP115:목(2B-3)] [SP503:월(8B-9)],3,"제15호관 인문대학-115 어학원강의실-2[SP115], 제15호관 인문대학-503 전용어학실습실-3[SP503]"
11,인문대학,국어국문학과,2,전공선택,0008651001,한국어문법의이해,Understanding of Korean Grammar,안소진,online class,온라인(동영상+화상)," [SP503:목(7-8A),금(7-8A)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
12,인문대학,국어국문학과,2,전공선택,AIA6043001,현대소설론,STUDY OF MODERN NOVELS,강용훈,on and offline class,온라인(화상)+오프라인," [SP503:월(7-8A),수(8B-9)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
13,인문대학,국어국문학과,3,전공선택,0004872001,한국어자료와한국어의역사,Linguistic material and History of Korean,김태우,online class,온라인(동영상+화상), [SP120:수(5B-6)(7-8A)],3,제15호관 인문대학-120 어학원강의실-1[SP120]
14,인문대학,국어국문학과,3,전공선택,0004876001,현대시인론,Study of Korean Modern Poets,김영식,online class,온라인(동영상+화상), [SP119:화(7-8A)(8B-9)],3,제15호관 인문대학-119 강의실(중)-1[SP119]
15,인문대학,국어국문학과,3,전공선택,0004912001,한국어표현교육론,Pedagogy of Productive Skills of Korean Language,유민애,on and offline class,온라인(동영상)+오프라인, [SP119:화(1-2A)(2B-3)],3,제15호관 인문대학-119 강의실(중)-1[SP119]
16,인문대학,국어국문학과,3,전공선택,0008653001,한국고전텍스트읽기,Readings in Korean Classics,김정경,online class,온라인(동영상+화상)," [SP503:월(5B-6),목(5B-6)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
17,인문대학,국어국문학과,3,전공선택,0008654001,한국어발음의이해,Understanding of Korean Pronunciation ,하신영,on and offline class,온라인(화상)+오프라인," [SP115:월(2B-3),목(4-5A)]",3,제15호관 인문대학-115 어학원강의실-2[SP115]
18,인문대학,국어국문학과,3,전공선택,0009347001,문학과문화콘텐츠,Korean Literature and Cultural Contents,조현우,on and offline class,온라인(동영상+화상)+오프라인," [SP119:수(2B-3),금(2B-3)]",3,제15호관 인문대학-119 강의실(중)-1[SP119]
19,인문대학,국어국문학과,4,전공선택,0004888001,미디어글쓰기,Writing for Journalism  ,,on and offline class,온라인(화상)+오프라인, [SP120:화(1-2A)(2B-3)],3,제15호관 인문대학-120 어학원강의실-1[SP120]
20,인문대학,국어국문학과,4,전공선택,0006763001,저널리즘 글쓰기, Writing for Journalism,장영은,on and offline class,온라인(동영상)+오프라인, [SP120:금(5B-6)(7-8A)],3,제15호관 인문대학-120 어학원강의실-1[SP120]
21,인문대학,국어국문학과,4,전공선택,0007396001,한국문학세미나,Korean Literature Seminar,노지승,on and offline class,온라인(화상)+오프라인," [SP503:화(5B-6),목(2B-3)]",3,제15호관 인문대학-503 전용어학실습실-3[SP503]
22,인문대학,국어국문학과,4,전공선택,0008293002,진로설계세미나,Career Development Planning,김정경,online class,온라인(동영상+화상), [SP503:월(2)],1,제15호관 인문대학-503 전용어학실습실-3[SP503]
23,인문대학,영어영문학과,1,전공필수,AIB6094001,영어회화(2),ENGLISH CONVERSATION(2),알라나 커밍스,online class,온라인(화상)," [SP116:목(1),금(1)]",1,제15호관 인문대학-116 강의실(대)-2[SP116]
24,인문대학,영어영문학과,1,전공필수,AIB6094002,영어회화(2),ENGLISH CONVERSATION(2),알라나 커밍스,online class,온라인(화상)," [SP405:월(6),수(1)]",1,제15호관 인문대학-405 대학원세미나실[SP405]
25,인문대학,영어영문학과,1,전공필수,AIB6094003,영어회화(2),ENGLISH CONVERSATION(2),윌리엄,online class,온라인(화상)," [SP317:목(1),금(1)]",1,제15호관 인문대학-317 교육통계실습실[SP317]
26,인문대학,영어영문학과,1,전공필수,AIB6094004,영어회화(2),ENGLISH CONVERSATION(2),윌리엄,online class,온라인(화상)," [SP116:월(6),수(1)]",1,제15호관 인문대학-116 강의실(대)-2[SP116]
27,인문대학,영어영문학과,1,전공필수,AIB6095001,영작문(1),ENGLISH COMPOSITION1,알라나 커밍스,on and offline class,온라인(화상)+오프라인, [SP116:수(4)] [ZZ200:화(9)],1,"제15호관 인문대학-116 강의실(대)-2[SP116], 가상건물-200 온라인강의실[ZZ200]"
28,인문대학,영어영문학과,1,전공필수,AIB6095002,영작문(1),ENGLISH COMPOSITION1,알라나 커밍스,on and offline class,온라인(화상)+오프라인, [SP116:금(3)] [SP405:화(4)],1,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-405 대학원세미나실[SP405]"
29,인문대학,영어영문학과,1,전공필수,AIB6095003,영작문(1),ENGLISH COMPOSITION1,윌리엄,on and offline class,온라인(화상)+오프라인," [SP403:화(9),수(4)]",1,제15호관 인문대학-403 전용어학실습실-3[SP403]
30,인문대학,영어영문학과,1,전공선택,0006950001,전공글쓰기,Academic writing,하인혜,online class,온라인(화상)," [SP403:화(7-8A),목(2B-3)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
31,인문대학,영어영문학과,1,전공선택,0006950002,전공글쓰기,Academic writing,신나미,on and offline class,온라인(화상)+오프라인," [SP403:화(5B-6),목(4-5A)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
32,인문대학,영어영문학과,1,전공선택,AIB6092001,영미문학의이해,UNDERSTANDING OF ENGLISH & AMIEICAN LITERATURE,서윤교,on and offline class,온라인(동영상)+오프라인, [SP116:월(8B-9)] [SP403:수(8B-9)],3,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"
33,인문대학,영어영문학과,1,전공선택,AIB6104001,실용영어(2),PRACTICAL ENGLISH(2),,on and offline class,온라인(동영상)+오프라인, [SP116:월(4-5A)] [SP403:목(5B-6)],3,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"
34,인문대학,영어영문학과,2,전공기초,AIB6013001,영작문(3),ENGLISH COMPOSITION(2),알라나 커밍스,on and offline class,온라인(화상)+오프라인, [SP116:목(4)] [SP403:월(9)],1,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"
35,인문대학,영어영문학과,2,전공필수,AIB6008001,미국문학사,HISTORY OF AMERICAN LITERATURE,이용화,offline class,오프라인," [SP116:화(8),목(2)(3)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
36,인문대학,영어영문학과,2,전공필수,AIB6008002,미국문학사,HISTORY OF AMERICAN LITERATURE,이용화,offline class,오프라인," [SP116:화(9),목(5)(6)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
37,인문대학,영어영문학과,2,전공필수,AIB6009001,영어음성학,ENGLISH PHONETICS,유혜배,on and offline class,온라인(동영상+화상)+오프라인," [SP403:월(7-8A),목(8B-9)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
38,인문대학,영어영문학과,2,전공필수,AIB6009002,영어음성학,ENGLISH PHONETICS,유혜배,on and offline class,온라인(동영상+화상)+오프라인," [SP403:월(5B-6),수(5B-6)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
39,인문대학,영어영문학과,2,전공선택,0006948001,근대영국소설,Eighteenth and Nineteenth Century British Novel,하인혜,online class,온라인(화상)," [SP403:화(4-5A),목(7-8A)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
40,인문대학,영어영문학과,2,전공선택,0009409001,코퍼스영어학,English Corpus Linguistics,정채관,online class,온라인(동영상+화상)," [SP403:화(2B-3),금(2B-3)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
41,인문대학,영어영문학과,2,전공선택,AIB6068001,영미대중문화읽기,READING OF ENGLISH & AMERICAN POPULAR CULTURE,서윤교,on and offline class,온라인(동영상)+오프라인," [SP403:월(2B-3),수(2B-3)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
42,인문대학,영어영문학과,3,전공기초,AIB6085001,중급영어회화(2),INTERMEDIATE ENGLISH CONVERSATION,윌리엄,online class,온라인(화상), [SP116:금(4)] [SP403:월(4)],1,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"
43,인문대학,영어영문학과,3,전공필수,0000946001,영어발달사,History Of The English Language,윤소연,on and offline class,온라인(화상)+오프라인," [SP116:화(4-5A),목(7-8A)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
44,인문대학,영어영문학과,3,전공필수,0000946002,영어발달사,History Of The English Language,윤소연,on and offline class,온라인(화상)+오프라인," [SP116:월(7-8A),수(7-8A)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
45,인문대학,영어영문학과,3,전공필수,0004455001,셰익스피어,Shakespeare,황승현,on and offline class,온라인(화상)+오프라인," [SP116:화(2B-3),목(8B-9)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
46,인문대학,영어영문학과,3,전공필수,0004455002,셰익스피어,Shakespeare,황승현,on and offline class,온라인(화상)+오프라인," [SP116:월(2B-3),수(8B-9)]",3,제15호관 인문대학-116 강의실(대)-2[SP116]
47,인문대학,영어영문학과,3,전공선택,0007914001,진로설계세미나II,Career Design SeminarII,하인혜,online class,온라인(화상), [SP116:수(5)],1,제15호관 인문대학-116 강의실(대)-2[SP116]
48,인문대학,영어영문학과,3,전공선택,0009842001,컴퓨터보조영어교육,Computer Assisted Language Learning (CALL),정채관,online class,온라인(동영상+화상), [SP116:화(5B-6)] [SP403:금(5B-6)],3,"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"
49,인문대학,영어영문학과,4,전공선택,0004285001,영미문학과 영화,English & American Literature and Screen,신나미,on and offline class,온라인(화상)+오프라인," [SP403:수(7-8A),금(4-5A)]",3,제15호관 인문대학-403 전용어학실습실-3[SP403]
50,인문대학,영어영문학과,4,전공선택,AIB6102001,실무영어회화,OFFICE ENGLISH CONVERSATION,윌리엄,on and offline class,온라인(화상)+오프라인," [SP116:수(6),금(6)]",2,제15호관 인문대학-116 강의실(대)-2[SP116]
51,인문대학,독어독문학과,전학년,전공선택,0009062003,RISE,RISE,이원경,on and offline class,온라인(화상)+오프라인, [SP113:화(8B-9)] [SP306:수(8B-9)],3,"제15호관 인문대학-113 강의실(교육대학원)[SP113], 제15호관 인문대학-306 세미나실-4[SP306]"
52,인문대학,독어독문학과,전학년,전공선택,0009062004,RISE,RISE,권혁준,online class,온라인(화상),0,3,0
53,인문대학,독어독문학과,전학년,전공선택,0009062005,RISE,RISE,주소정,on and offline class,온라인(화상)+오프라인," [SP103:화(8B-9),수(8B-9)]",3,제15호관 인문대학-103 세미나실-2[SP103]
54,인문대학,독어독문학과,1,전공기초,0009364001,초급독일어회화A1 2,Elementary German ConversationA1 2,미하엘멩케,online class,온라인(동영상+화상), [ZZ200:목(2)(3)],1,가상건물-200 온라인강의실[ZZ200]
55,인문대학,독어독문학과,1,전공기초,0009364002,초급독일어회화A1 2,Elementary German ConversationA1 2,미하엘멩케,online class,온라인(동영상+화상), [ZZ200:목(5)(6)],1,가상건물-200 온라인강의실[ZZ200]
56,인문대학,독어독문학과,1,전공기초,0009365001,초급독일어A1 2,Elementary GermanA1 2,주소정,on and offline class,온라인(화상)+오프라인, [SP103:수(6)(7)] [SP502:화(4)(5)],3,"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"
57,인문대학,독어독문학과,1,전공기초,0009365002,초급독일어A1 2,Elementary GermanA1 2,주소정,on and offline class,온라인(화상)+오프라인," [SP502:화(6)(7),수(4)(5)]",3,제15호관 인문대학-502 전용어학실습실-2[SP502]
58,인문대학,독어독문학과,1,전공필수,AIE6002001,독일문학개론,INTRODUCTION TO GERMAN LITERATURE,목승숙,on and offline class,온라인(동영상)+오프라인, [SP103:금(2B-3)] [SP502:수(2B-3)],3,"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"
59,인문대학,독어독문학과,1,전공선택,0007801019,자기설계세미나II,Self - Design Seminar II,장제형,online class,온라인(동영상+화상), [ZZ200:목(8)],1,가상건물-200 온라인강의실[ZZ200]
60,인문대학,독어독문학과,1,전공선택,AIE6081001,독일어권의문화예술,CULTURE AND ART IN GERMAN SPEAKING REGION,이노은,online class,온라인(동영상+화상)," [SP502:화(2),금(6)(7)]",3,제15호관 인문대학-502 전용어학실습실-2[SP502]
61,인문대학,독어독문학과,2,전공필수,0009366001,중급독일어 A2 2,Intermediate German A2 2,박은주,online class,온라인(동영상+화상)," [ZZ200:월(3)(4),수(3)(4)]",3,가상건물-200 온라인강의실[ZZ200]
62,인문대학,독어독문학과,2,전공필수,0009366002,중급독일어 A2 2,Intermediate German A2 2,박은주,online class,온라인(동영상+화상)," [ZZ200:화(7)(8),목(7)(8)]",3,가상건물-200 온라인강의실[ZZ200]
63,인문대학,독어독문학과,2,전공필수,0009367001,중급독일어회화 A2 2,Intermediate German Conversation A2 2,미하엘멩케,online class,온라인(동영상+화상), [ZZ200:금(6)(7)],1,가상건물-200 온라인강의실[ZZ200]
64,인문대학,독어독문학과,2,전공필수,0009367002,중급독일어회화 A2 2,Intermediate German Conversation A2 2,미하엘멩케,online class,온라인(동영상+화상), [ZZ200:금(8)(9)],1,가상건물-200 온라인강의실[ZZ200]
65,인문대학,독어독문학과,2,전공선택,AIE6054001,독일어권지역학,CULTURE & SOCIETY OF GERMAN LANGUAGE  SPEAKING AREA,이노은,online class,온라인(동영상+화상), [SP502:금(2)(3)] [ZZ200:화(6)],3,"제15호관 인문대학-502 전용어학실습실-2[SP502], 가상건물-200 온라인강의실[ZZ200]"
66,인문대학,독어독문학과,2,전공선택,AIE6067001,독일의언어문화,GERMAN LANGUAGE CULTURE,이원경,on and offline class,온라인(동영상)+오프라인," [SP103:화(2B-3),목(4-5A)]",3,제15호관 인문대학-103 세미나실-2[SP103]
67,인문대학,독어독문학과,2,전공선택,AIE6068001,독일문학과영화,GERMAN LITERATURE AND FILM,명정,online class,온라인(동영상+화상), [SP502:목(1-2A)(2B-3)],3,제15호관 인문대학-502 전용어학실습실-2[SP502]
68,인문대학,독어독문학과,2,전공선택,AIE6069001,독일문학사조연구,STUDY OF GERMAN LITERARY TREND,장제형,online class,온라인(동영상+화상), [SP113:수(5B-6)] [SP502:월(7-8A)],3,"제15호관 인문대학-113 강의실(교육대학원)[SP113], 제15호관 인문대학-502 전용어학실습실-2[SP502]"
69,인문대학,독어독문학과,3,전공선택,0002700001,지역학의이론과실제,THEARY AND PRACTICE OF GERMAN STUDIES,미하엘멩케,on and offline class,온라인(동영상+화상)+오프라인, [SP502:수(7-8A)(8B-9)],3,제15호관 인문대학-502 전용어학실습실-2[SP502]
70,인문대학,독어독문학과,3,전공선택,0009369001,독일시입문,Introduction to German Poetry,권혁준,online class,온라인(동영상+화상)," [SP113:화(2B-3),금(2B-3)]",3,제15호관 인문대학-113 강의실(교육대학원)[SP113]
71,인문대학,독어독문학과,3,전공선택,0009370001,고급독일어회화 B1 2,Advanced German Conversation B1 2,미하엘멩케,online class,온라인(동영상+화상), [SP103:화(5B-6)(7-8A)],3,제15호관 인문대학-103 세미나실-2[SP103]
72,인문대학,독어독문학과,3,전공선택,AIE6052001,통상독일어,COMMERCIAL GERMAN,이원경,on and offline class,온라인(동영상)+오프라인," [SP103:수(2B-3),금(5B-6)]",3,제15호관 인문대학-103 세미나실-2[SP103]
73,인문대학,독어독문학과,3,전공선택,AIE6070001,독일의공연예술,GERMAN PERFORMING ARTS,김혜진,online class,온라인(화상), [SP103:목(1-2A)(2B-3)],3,제15호관 인문대학-103 세미나실-2[SP103]
74,인문대학,독어독문학과,4,전공선택,0002705001,독일의문화정책과기획,STUDIES IN CULTURAL POLICY AND CULTURAL PLANNING IN GERMANY,장제형,online class,온라인(동영상+화상)," [SP113:화(7-8A),수(8B-9)]",3,제15호관 인문대학-113 강의실(교육대학원)[SP113]
75,인문대학,독어독문학과,4,전공선택,AIE6046001,독일작가론,STUDY OF GERMAN WRITERS AND THEIR WORKS,목승숙,online class,온라인(화상), [SP113:화(5B-6)] [SP503:수(5B-6)],3,"제15호관 인문대학-113 강의실(교육대학원)[SP113], 제15호관 인문대학-503 전용어학실습실-3[SP503]"
76,인문대학,불어불문학과,전학년,전공선택,0009062014,RISE,RISE,이영석,offline class,오프라인," [SP501:월(8B-9),수(8B-9)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
77,인문대학,불어불문학과,1,전공기초,0007801001,자기설계세미나II,Self - Design Seminar II,박정준,offline class,오프라인, [SP101:수(5)],1,제15호관 인문대학-101 강의실(중)-2[SP101]
78,인문대학,불어불문학과,1,전공기초,0007801002,자기설계세미나II,Self - Design Seminar II,한상정,offline class,오프라인, [SP306:수(5)],1,제15호관 인문대학-306 세미나실-4[SP306]
79,인문대학,불어불문학과,1,전공기초,0007801003,자기설계세미나II,Self - Design Seminar II,이현주,offline class,오프라인, [SP103:수(5)],1,제15호관 인문대학-103 세미나실-2[SP103]
80,인문대학,불어불문학과,1,전공기초,AIF6143001,기초프랑스어(2),ELEMENTARY FRENCH(2),박정준,offline class,오프라인," [SP501:화(2)(3),목(2)(3)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
81,인문대학,불어불문학과,1,전공기초,AIF6143002,기초프랑스어(2),ELEMENTARY FRENCH(2),박정준,offline class,오프라인, [SP101:금(2)(3)] [SP501:수(2)(3)],3,"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-501 전용어학실습실-1[SP501]"
82,인문대학,불어불문학과,1,전공필수,0007835001,프랑스 명저의 이해 2,Understanding French Masterpieces 2,오은하,on and offline class,온라인(화상)+오프라인," [SP501:화(5B-6),금(5B-6)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
83,인문대학,불어불문학과,1,전공선택,AIF6145001,기초프랑스어회화(2),FRENCH CONVERSATION BEGINNING COURSE(2),파비앙,offline class,오프라인, [SP101:수(7-8A)] [SP501:금(7-8A)],3,"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-501 전용어학실습실-1[SP501]"
84,인문대학,불어불문학과,1,전공선택,AIF6145002,기초프랑스어회화(2),FRENCH CONVERSATION BEGINNING COURSE(2),파비앙,offline class,오프라인," [SP501:화(4-5A),목(4-5A)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
85,인문대학,불어불문학과,2,전공필수,AIF6154001,프랑스문학입문,Introduction to French Literature,오은하,on and offline class,온라인(화상)+오프라인," [SP501:수(5B-6),금(2B-3)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
86,인문대학,불어불문학과,2,전공선택,0007863001,프랑스 언어와 사회2,French Language and Society 2,이영석,offline class,오프라인," [SP501:월(7-8A),수(4-5A)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
87,인문대학,불어불문학과,2,전공선택,0007868001,프랑스어문법과 작문2,French Grammar and Composition 2,이현주,on and offline class,온라인(화상)+오프라인," [SP101:월(5B-6),목(7-8A)]",3,제15호관 인문대학-101 강의실(중)-2[SP101]
88,인문대학,불어불문학과,2,전공선택,0007872001,프랑스문학강독2,Reading in French Literature 2,이정환,online class,온라인(화상), [SP101:화(5B-6)(7-8A)],3,제15호관 인문대학-101 강의실(중)-2[SP101]
89,인문대학,불어불문학과,2,전공선택,AIF6014001,프랑스어회화(2),FRENCH CONVERSATION(2),파비앙,offline class,오프라인, [SP101:화(2B-3)] [SP501:금(4-5A)],3,"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-501 전용어학실습실-1[SP501]"
90,인문대학,불어불문학과,3,전공선택,0004927001,프랑스어의구조와의미,Structure and Meaning of the French Language,이현주,online class,온라인(화상)," [SP501:월(2B-3),수(7-8A)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
91,인문대학,불어불문학과,3,전공선택,0007860001,프랑스 시의 이해,Understanding of French Poetry,김용민,offline class,오프라인, [SP101:금(5B-6)] [SP301:화(2B-3)],3,"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-301 대학원강의실[SP301]"
92,인문대학,불어불문학과,3,전공선택,0007869001,고급프랑스어회화,French Conversation on Advanced Level,파비앙,online class,온라인(화상)," [SP306:월(5B-6),금(2B-3)]",3,제15호관 인문대학-306 세미나실-4[SP306]
93,인문대학,불어불문학과,3,전공선택,AIF6053001,유럽지역학,AREA STUDIES OF EUROPE,김종서,on and offline class,온라인(화상)+오프라인, [SP101:목(5B-6)] [SP115:화(5B-6)],3,"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-115 어학원강의실-2[SP115]"
94,인문대학,불어불문학과,4,전공선택,0007871001,프랑스문학탐구,French Literature Research,김용민,offline class,오프라인," [SP501:월(5B-6),목(5B-6)]",3,제15호관 인문대학-501 전용어학실습실-1[SP501]
95,인문대학,불어불문학과,4,전공선택,0009381001,프랑스의공연예술,Performing arts in France,김종서,offline class,오프라인, [SP501:화(7-8A)(8B-9)],3,제15호관 인문대학-501 전용어학실습실-1[SP501]
96,인문대학,일어일문학과,1,전공기초,0007801041,자기설계세미나II,Self - Design Seminar II,이호상,on and offline class,온라인(화상)+오프라인, [SP323:수(9)],1,제15호관 인문대학-323 강의실(소)-5[SP323]
97,인문대학,일어일문학과,1,전공기초,0007801042,자기설계세미나II,Self - Design Seminar II,박진한,on and offline class,온라인(화상)+오프라인, [SP401:수(9)],1,제15호관 인문대학-401 전용어학실습실-1[SP401]
98,인문대학,일어일문학과,1,전공기초,0007801043,자기설계세미나II,Self - Design Seminar II,이석,on and offline class,온라인(화상)+오프라인, [SP405:수(9)],1,제15호관 인문대학-405 대학원세미나실[SP405]
99,인문대학,일어일문학과,1,전공기초,AIC6040001,일본어입문(2),INTRODUCTION TO JAPANESE STUDY(2),이건상,on and offline class,온라인(화상)+오프라인, [SP323:수(4)(5)] [SP401:월(6)],2,"제15호관 인문대학-323 강의실(소)-5[SP323], 제15호관 인문대학-401 전용어학실습실-1[SP401]"
100,인문대학,일어일문학과,1,전공기초,AIC6040002,일본어입문(2),INTRODUCTION TO JAPANESE STUDY(2),이건상,on and offline class,온라인(화상)+오프라인," [SP401:월(5),수(7)(8)]",2,제15호관 인문대학-401 전용어학실습실-1[SP401]
101,인문대학,일어일문학과,1,전공필수,0006877001,일본지역학입문,Introduction to Japanese Area Study,이호상,on and offline class,온라인(화상)+오프라인, [SM103:월(7)(8)(9)],3,제12호관 컨벤션센터-103 계단강의실(대)-2[SM103]
102,인문대학,일어일문학과,1,전공선택,0000365001,일본전근대사,Pre-Modern History of Japan,박진한,on and offline class,온라인(화상)+오프라인," [SP401:화(5B-6),목(2B-3)]",3,제15호관 인문대학-401 전용어학실습실-1[SP401]
103,인문대학,일어일문학과,1,전공선택,0005990001,일본어회화입문,INTRODUCTION TO JAPANESE CONVERSATION,나카무라유리,on and offline class,온라인(화상)+오프라인," [SP401:화(3),금(6)(7)]",2,제15호관 인문대학-401 전용어학실습실-1[SP401]
104,인문대학,일어일문학과,1,전공선택,0005990002,일본어회화입문,INTRODUCTION TO JAPANESE CONVERSATION,나카무라유리,on and offline class,온라인(화상)+오프라인, [SP323:화(7)] [SP401:금(3)(4)],2,"제15호관 인문대학-323 강의실(소)-5[SP323], 제15호관 인문대학-401 전용어학실습실-1[SP401]"
105,인문대학,일어일문학과,1,전공선택,AIC6073001,일본한자문화의이해,THE CULTURE OF CHINESE CHARACTERS IN JAPANESE LANGUAGE,이건상,on and offline class,온라인(화상)+오프라인," [SP401:월(2B-3),수(1-2A)]",3,제15호관 인문대학-401 전용어학실습실-1[SP401]
106,인문대학,일어일문학과,2,전공필수,0006001001,일본문학요론,INTRODUCTION TO JAPANESE LITERATURE,,online class,온라인(동영상+화상), [SP301:수(2B-3)(4-5A)],3,제15호관 인문대학-301 대학원강의실[SP301]
107,인문대학,일어일문학과,2,전공선택,0005991001,일본의언어와사회,LANGUAGE AND SOCIETY IN JAPAN,홍영주,online class,온라인(동영상), [SP323:화(2B-3)] [SP401:목(4-5A)],3,"제15호관 인문대학-323 강의실(소)-5[SP323], 제15호관 인문대학-401 전용어학실습실-1[SP401]"
108,인문대학,일어일문학과,2,전공선택,0006037001,일본서브컬쳐의이해,JAPANESE SUBCULTURAL STUDIES,이석,on and offline class,온라인(화상)+오프라인," [SP323:월(5B-6),화(5B-6)]",3,제15호관 인문대학-323 강의실(소)-5[SP323]
109,인문대학,일어일문학과,2,전공선택,0009784001,일본지역과문화,Japanese area and culture,이강원,offline class,오프라인, [SP323:목(5B-6)] [SP401:화(7-8A)],3,"제15호관 인문대학-323 강의실(소)-5[SP323], 제15호관 인문대학-401 전용어학실습실-1[SP401]"
110,인문대학,일어일문학과,2,전공선택,AIC6048001,실천일본어회화(2),PRACTICE OF JAPANESE CONVERSATION(2),나카무라유리,on and offline class,온라인(화상)+오프라인, [SP323:목(7)(8)] [SP401:월(4)],2,"제15호관 인문대학-323 강의실(소)-5[SP323], 제15호관 인문대학-401 전용어학실습실-1[SP401]"
111,인문대학,일어일문학과,3,전공선택,0000369001,한일언어문화의비교,Comparison Between Korean and Japanese Languages and Culture,양내윤,online class,온라인(동영상+화상), [SP317:화(7-8A)(8B-9)],3,제15호관 인문대학-317 교육통계실습실[SP317]
112,인문대학,일어일문학과,3,전공선택,0005985001,일본어학요론,INTRODUCTION TO JAPANESE LINGUSITICS,홍영주,online class,온라인(동영상)," [SP401:화(4-5A),목(7-8A)]",3,제15호관 인문대학-401 전용어학실습실-1[SP401]
